team,player,pos,xg90,xsot90,goals,xg,minutes,is_placeholder_stats
Arsenal,Bukayo Saka,FW,0.45,1.1,16.0,15.2,2800.0,False
Chelsea,Cole Palmer,FW,0.58,1.35,22.0,18.2,2770.0,False
Chelsea,Nicolas Jackson,FW,0.52,1.25,14.0,14.8,2800.0,False
Chelsea,Noni Madueke,FW,0.35,0.9,5.0,4.9,1060.0,False
Chelsea,Conor Gallagher,MF,0.19,0.5,5.0,5.6,3130.0,False
Chelsea,Enzo Fernández,MF,0.15,0.4,3.0,3.8,2180.0,False
Chelsea,Thiago Silva,DF,0.06,0.18,3.0,2.1,2620.0,False
Tottenham Hotspur,Richarlison,FW,0.54,1.2,11.0,9.8,1500.0,False
Liverpool,Virgil van Dijk,DF,0.08,0.22,2.0,2.8,3150.0,False
Tottenham Hotspur,Dejan Kulusevski,FW,0.25,0.7,8.0,6.8,2770.0,False
Tottenham Hotspur,Cristian Romero,DF,0.12,0.3,5.0,3.6,2800.0,False
Manchester United,Rasmus Højlund,FW,0.38,0.85,10.0,9.2,2170.0,False
Manchester United,Marcus Rashford,FW,0.32,0.8,7.0,8.1,2260.0,False
Manchester United,Alejandro Garnacho,FW,0.3,0.88,7.0,8.5,2570.0,False
Manchester United,Bruno Fernandes,MF,0.31,0.82,10.0,10.8,3120.0,False
Manchester United,Scott McTominay,MF,0.29,0.65,7.0,6.1,1800.0,False
Manchester United,Harry Maguire,DF,0.09,0.25,2.0,2.2,1650.0,False
Tottenham Hotspur,James Maddison,MF,0.24,0.72,4.0,4.9,2100.0,False
Liverpool,Alexis Mac Allister,MF,0.16,0.45,5.0,4.8,2600.0,False
Tottenham Hotspur,Son Heung-Min,FW,0.41,1.15,17.0,12.1,2940.0,False
Liverpool,Diogo Jota,FW,0.55,1.3,10.0,8.1,1160.0,False
Liverpool,Luis Díaz,FW,0.38,0.95,8.0,10.1,2640.0,False
Arsenal,Gabriel Martinelli,FW,0.32,0.85,8.0,8.1,2100.0,False
Arsenal,Martin Ødegaard,MF,0.28,0.75,8.0,7.5,2900.0,False
Arsenal,Declan Rice,MF,0.12,0.35,7.0,4.2,3200.0,False
Arsenal,Gabriel Magalhães,DF,0.09,0.25,4.0,3.1,3100.0,False
Arsenal,William Saliba,DF,0.04,0.1,2.0,1.5,3420.0,False
Manchester City,Erling Haaland,FW,0.82,1.75,27.0,26.1,2550.0,False
Manchester City,Phil Foden,FW,0.44,1.2,19.0,14.5,2860.0,False
Arsenal,Kai Havertz,FW,0.42,0.95,13.0,12.8,2600.0,False
Manchester City,Kevin De Bruyne,MF,0.29,0.88,4.0,4.5,1220.0,False
Manchester City,Rodri,MF,0.18,0.52,8.0,5.8,2930.0,False
Manchester City,Bernardo Silva,MF,0.21,0.6,6.0,5.2,2580.0,False
Manchester City,Josko Gvardiol,DF,0.11,0.3,4.0,3.4,2320.0,False
Liverpool,Mohamed Salah,FW,0.65,1.5,18.0,18.4,2540.0,False
Liverpool,Darwin Núñez,FW,0.68,1.62,11.0,16.2,2040.0,False
Liverpool,Cody Gakpo,FW,0.41,1.02,8.0,8.6,1620.0,False
Manchester City,Julian Alvarez,FW,0.38,0.98,11.0,11.2,2650.0,False
Ipswich Town,Elkan Baggott,DF,0.09,0.25,3.0,2.8,2800.0,True
Ipswich Town,Harry Clarke,DF,0.09,0.25,3.0,2.8,2800.0,True
Ipswich Town,Abdoul Ouattara,DF,0.09,0.25,3.0,2.8,2800.0,True
Ipswich Town,Wes Burns,MF,0.21,0.6,6.0,5.2,2600.0,True
Ipswich Town,Samuel Szmodics,MF,0.21,0.6,6.0,5.2,2600.0,True
Ipswich Town,Jack Taylor,MF,0.21,0.6,6.0,5.2,2600.0,True
Ipswich Town,Azor Matusiwa,MF,0.21,0.6,6.0,5.2,2600.0,True
Ipswich Town,Saša Lukić,MF,0.21,0.6,6.0,5.2,2600.0,True
Ipswich Town,Julio Enciso,MF,0.21,0.6,6.0,5.2,2600.0,True
Ipswich Town,Marcelino Núñez,MF,0.21,0.6,6.0,5.2,2600.0,True
Ipswich Town,Anis Mehmeti,MF,0.21,0.6,6.0,5.2,2600.0,True
Ipswich Town,Cameron Humphreys,MF,0.21,0.6,6.0,5.2,2600.0,True
Ipswich Town,Kasey McAteer,MF,0.21,0.6,6.0,5.2,2600.0,True
Ipswich Town,Jack Clarke,FW,0.415,1.06,11.0,10.649999999999999,2560.0,True
Ipswich Town,Chiedozie Ogbene,FW,0.415,1.06,11.0,10.649999999999999,2560.0,True
Ipswich Town,Jacob Greaves,DF,0.09,0.25,3.0,2.8,2800.0,True
Ipswich Town,Florentino,MF,0.21,0.6,6.0,5.2,2600.0,True
Ipswich Town,Leif Davis,DF,0.09,0.25,3.0,2.8,2800.0,True
Leeds United,Lukas Nmecha,FW,0.415,1.06,11.0,10.649999999999999,2560.0,True
Ipswich Town,Dara O'Shea,DF,0.09,0.25,3.0,2.8,2800.0,True
Ipswich Town,Chuba Akpom,FW,0.415,1.06,11.0,10.649999999999999,2560.0,True
Leeds United,Daniel James,FW,0.415,1.06,11.0,10.649999999999999,2560.0,True
Leeds United,Harry Wilson,FW,0.415,1.06,11.0,10.649999999999999,2560.0,True
Leeds United,Noah Okafor,FW,0.415,1.06,11.0,10.649999999999999,2560.0,True
Leeds United,Joël Piroe,FW,0.415,1.06,11.0,10.649999999999999,2560.0,True
Leeds United,Joe Gelhardt,FW,0.415,1.06,11.0,10.649999999999999,2560.0,True
Leeds United,Largie Ramazani,FW,0.415,1.06,11.0,10.649999999999999,2560.0,True
Leeds United,Wilfried Gnonto,FW,0.415,1.06,11.0,10.649999999999999,2560.0,True
Leeds United,Mateo Fernandez,FW,0.415,1.06,11.0,10.649999999999999,2560.0,True
Ipswich Town,David Button,GK,0.305,0.835,8.0,7.8,2600.0,True
Ipswich Town,Christian Walton,GK,0.305,0.835,8.0,7.8,2600.0,True
Ipswich Town,Alex Palmer,GK,0.305,0.835,8.0,7.8,2600.0,True
Ipswich Town,Kjell Scherpen,GK,0.305,0.835,8.0,7.8,2600.0,True
Ipswich Town,Kayne van Oevelen,GK,0.305,0.835,8.0,7.8,2600.0,True
Ipswich Town,Darnell Furlong,DF,0.09,0.25,3.0,2.8,2800.0,True
Ipswich Town,Ben Johnson,DF,0.09,0.25,3.0,2.8,2800.0,True
Ipswich Town,Issa Diop,DF,0.09,0.25,3.0,2.8,2800.0,True
Ipswich Town,Cédric Kipré,DF,0.09,0.25,3.0,2.8,2800.0,True
Ipswich Town,George Hirst,FW,0.415,1.06,11.0,10.649999999999999,2560.0,True
Nottingham Forest,Murillo,DF,0.09,0.25,3.0,2.8,2800.0,True
Ipswich Town,Jaden Philogene-Bidace,FW,0.415,1.06,11.0,10.649999999999999,2560.0,True
Nottingham Forest,Ryan Yates,MF,0.21,0.6,6.0,5.2,2600.0,True
Nottingham Forest,Ibrahim Sangaré,MF,0.21,0.6,6.0,5.2,2600.0,True
Nottingham Forest,Xaver Schlager,MF,0.21,0.6,6.0,5.2,2600.0,True
Nottingham Forest,Nicolás Domínguez,MF,0.21,0.6,6.0,5.2,2600.0,True
Nottingham Forest,James McAtee,MF,0.21,0.6,6.0,5.2,2600.0,True
Nottingham Forest,Callum Hudson-Odoi,FW,0.415,1.06,11.0,10.649999999999999,2560.0,True
Nottingham Forest,Chris Wood,FW,0.415,1.06,11.0,10.649999999999999,2560.0,True
Nottingham Forest,Taiwo Awoniyi,FW,0.415,1.06,11.0,10.649999999999999,2560.0,True
Nottingham Forest,Dan Ndoye,FW,0.415,1.06,11.0,10.649999999999999,2560.0,True
Nottingham Forest,Arnaud Kalimuendo,FW,0.415,1.06,11.0,10.649999999999999,2560.0,True
Nottingham Forest,Dilane Bakwa,FW,0.415,1.06,11.0,10.649999999999999,2560.0,True
Nottingham Forest,Omari Hutchinson,FW,0.415,1.06,11.0,10.649999999999999,2560.0,True
Nottingham Forest,Igor Jesus,FW,0.415,1.06,11.0,10.649999999999999,2560.0,True
Crystal Palace,Dean Henderson,GK,0.305,0.835,8.0,7.8,2600.0,True
Crystal Palace,Remi Matthews,GK,0.305,0.835,8.0,7.8,2600.0,True
Crystal Palace,Walter Benítez,GK,0.305,0.835,8.0,7.8,2600.0,True
Crystal Palace,Owen Goodman,GK,0.305,0.835,8.0,7.8,2600.0,True
Nottingham Forest,Morgan Gibbs-White,MF,0.21,0.6,6.0,5.2,2600.0,True
Ipswich Town,Daizen Maeda,FW,0.415,1.06,11.0,10.649999999999999,2560.0,True
Nottingham Forest,Eric da Silva Moreira,DF,0.09,0.25,3.0,2.8,2800.0,True
Nottingham Forest,Zach Abbott,DF,0.09,0.25,3.0,2.8,2800.0,True
Ipswich Town,Emersonn,FW,0.415,1.06,11.0,10.649999999999999,2560.0,True
Ipswich Town,Ali Al-Hamadi,FW,0.415,1.06,11.0,10.649999999999999,2560.0,True
Ipswich Town,Abdul Issahaku,FW,0.415,1.06,11.0,10.649999999999999,2560.0,True
Ipswich Town,Sindre Egeli,FW,0.415,1.06,11.0,10.649999999999999,2560.0,True
Nottingham Forest,John,GK,0.305,0.835,8.0,7.8,2600.0,True
Nottingham Forest,Matz Sels,GK,0.305,0.835,8.0,7.8,2600.0,True
Nottingham Forest,Steven Benda,GK,0.305,0.835,8.0,7.8,2600.0,True
Nottingham Forest,Nikola Milenković,DF,0.09,0.25,3.0,2.8,2800.0,True
Nottingham Forest,Ola Aina,DF,0.09,0.25,3.0,2.8,2800.0,True
Nottingham Forest,Omar Richards,DF,0.09,0.25,3.0,2.8,2800.0,True
Nottingham Forest,Morato,DF,0.09,0.25,3.0,2.8,2800.0,True
Nottingham Forest,Neco Williams,DF,0.09,0.25,3.0,2.8,2800.0,True
Nottingham Forest,Luca Netz,DF,0.09,0.25,3.0,2.8,2800.0,True
Nottingham Forest,Jair Paula,DF,0.09,0.25,3.0,2.8,2800.0,True
Nottingham Forest,Ousmane Diomande,DF,0.09,0.25,3.0,2.8,2800.0,True
Nottingham Forest,Nicolò Savona,DF,0.09,0.25,3.0,2.8,2800.0,True
Leeds United,Dominic Calvert-Lewin,FW,0.415,1.06,11.0,10.649999999999999,2560.0,True
Nottingham Forest,Tyler Bindon,DF,0.09,0.25,3.0,2.8,2800.0,True
Leeds United,Jack Harrison,FW,0.415,1.06,11.0,10.649999999999999,2560.0,True
Leeds United,James Trafford,GK,0.305,0.835,8.0,7.8,2600.0,True
Leeds United,Brenden Aaronson,MF,0.21,0.6,6.0,5.2,2600.0,True
Tottenham Hotspur,Wilson Odobert,FW,0.415,1.06,11.0,10.649999999999999,2560.0,True
Tottenham Hotspur,Mikey Moore,FW,0.415,1.06,11.0,10.649999999999999,2560.0,True
Tottenham Hotspur,Min-hyuk Yang,FW,0.415,1.06,11.0,10.649999999999999,2560.0,True
Tottenham Hotspur,William Lankshear,FW,0.415,1.06,11.0,10.649999999999999,2560.0,True
Hull City,Jack Butland,GK,0.305,0.835,8.0,7.8,2600.0,True
