team,player,pos,xg90,xsot90,goals,xg,minutes,is_placeholder_stats
Arsenal,Bukayo Saka,FW,0.45,1.1,16.0,15.2,2800.0,False
Arsenal,Reiss Nelson,FW,0.415,1.06,11.0,10.65,2560.0,False
Arsenal,Viktor Gyökeres,FW,0.415,1.06,11.0,10.65,2560.0,False
Arsenal,Martinelli,FW,0.415,1.06,11.0,10.65,2560.0,False
Arsenal,Christos Tzolis,FW,0.415,1.06,11.0,10.65,2560.0,False
Arsenal,Ethan Nwaneri,MF,0.21,0.6,6.0,5.2,2600.0,False
Arsenal,Noni Madueke,FW,0.415,1.06,11.0,10.65,2560.0,False
Aston Villa,Emiliano Martínez,GK,0.305,0.835,8.0,7.8,2600.0,False
Aston Villa,Marco Bizot,GK,0.305,0.835,8.0,7.8,2600.0,False
Aston Villa,Joe Gauci,GK,0.305,0.835,8.0,7.8,2600.0,False
Aston Villa,Zion Suzuki,GK,0.305,0.835,8.0,7.8,2600.0,False
Aston Villa,Oliwier Zych,GK,0.305,0.835,8.0,7.8,2600.0,False
Aston Villa,Lucas Digne,DF,0.09,0.25,3.0,2.8,2800.0,False
Aston Villa,Victor Nilsson-Lindelöf,DF,0.09,0.25,3.0,2.8,2800.0,False
Arsenal,Max Dowman,FW,0.415,1.06,11.0,10.65,2560.0,False
Arsenal,Martín Zubimendi,MF,0.21,0.6,6.0,5.2,2600.0,False
Arsenal,Fabio Vieira,MF,0.21,0.6,6.0,5.2,2600.0,False
Arsenal,Christian Nørgaard,MF,0.21,0.6,6.0,5.2,2600.0,False
Arsenal,Gabriel Jesus,FW,0.415,1.06,11.0,10.65,2560.0,False
Arsenal,Kepa Arrizabalaga,GK,0.305,0.835,8.0,7.8,2600.0,False
Chelsea,Caleb Wiley,DF,0.09,0.25,3.0,2.8,2800.0,False
Liverpool,Harvey Davies,GK,0.305,0.835,8.0,7.8,2600.0,False
Everton,Iliman Ndiaye,FW,0.415,1.06,11.0,10.65,2560.0,False
Everton,Brennan Johnson,FW,0.415,1.06,11.0,10.65,2560.0,False
Everton,Beto,FW,0.415,1.06,11.0,10.65,2560.0,False
Everton,Thierno Barry,FW,0.415,1.06,11.0,10.65,2560.0,False
Everton,Tyler Dibling,FW,0.415,1.06,11.0,10.65,2560.0,False
