team,player,pos,xg90,xsot90,goals,xg,minutes
Arsenal,Bukayo Saka,FW,0.45,1.1,16,15.2,2800
Arsenal,Kai Havertz,FW,0.42,0.95,13,12.8,2600
Arsenal,Gabriel Martinelli,FW,0.32,0.85,8,8.1,2100
Arsenal,Martin Ødegaard,MF,0.28,0.75,8,7.5,2900
Arsenal,Declan Rice,MF,0.12,0.35,7,4.2,3200
Arsenal,Gabriel Magalhães,DF,0.09,0.25,4,3.1,3100
Arsenal,William Saliba,DF,0.04,0.1,2,1.5,3420
Manchester City,Erling Haaland,FW,0.82,1.75,27,26.1,2550
Manchester City,Phil Foden,FW,0.44,1.2,19,14.5,2860
Manchester City,Julian Alvarez,FW,0.38,0.98,11,11.2,2650
Manchester City,Kevin De Bruyne,MF,0.29,0.88,4,4.5,1220
Manchester City,Rodri,MF,0.18,0.52,8,5.8,2930
Manchester City,Bernardo Silva,MF,0.21,0.6,6,5.2,2580
Manchester City,Josko Gvardiol,DF,0.11,0.3,4,3.4,2320
Liverpool,Mohamed Salah,FW,0.65,1.5,18,18.4,2540
Liverpool,Darwin Núñez,FW,0.68,1.62,11,16.2,2040
Liverpool,Cody Gakpo,FW,0.41,1.02,8,8.6,1620
Liverpool,Diogo Jota,FW,0.55,1.3,10,8.1,1160
Liverpool,Luis Díaz,FW,0.38,0.95,8,10.1,2640
Liverpool,Alexis Mac Allister,MF,0.16,0.45,5,4.8,2600
Liverpool,Virgil van Dijk,DF,0.08,0.22,2,2.8,3150
Chelsea,Cole Palmer,FW,0.58,1.35,22,18.2,2770
Chelsea,Nicolas Jackson,FW,0.52,1.25,14,14.8,2800
Chelsea,Noni Madueke,FW,0.35,0.9,5,4.9,1060
Chelsea,Conor Gallagher,MF,0.19,0.5,5,5.6,3130
Chelsea,Enzo Fernández,MF,0.15,0.4,3,3.8,2180
Chelsea,Thiago Silva,DF,0.06,0.18,3,2.1,2620
Tottenham,Son Heung-Min,FW,0.41,1.15,17,12.1,2940
Tottenham,Richarlison,FW,0.54,1.2,11,9.8,1500
Tottenham,Dejan Kulusevski,FW,0.25,0.7,8,6.8,2770
Tottenham,James Maddison,MF,0.24,0.72,4,4.9,2100
Tottenham,Cristian Romero,DF,0.12,0.3,5,3.6,2800
Manchester United,Rasmus Højlund,FW,0.38,0.85,10,9.2,2170
Manchester United,Marcus Rashford,FW,0.32,0.8,7,8.1,2260
Manchester United,Alejandro Garnacho,FW,0.3,0.88,7,8.5,2570
Manchester United,Bruno Fernandes,MF,0.31,0.82,10,10.8,3120
Manchester United,Scott McTominay,MF,0.29,0.65,7,6.1,1800
Manchester United,Harry Maguire,DF,0.09,0.25,2,2.2,1650
