team,player_name,position
Arsenal FC,Kepa Arrizabalaga,Goalkeeper
Arsenal FC,David Raya,Goalkeeper
Arsenal FC,Illan Meslier,Goalkeeper
Arsenal FC,Tommy Setford,Goalkeeper
Arsenal FC,Ben White,Defence
Arsenal FC,Gabriel Magalhães,Defence
Arsenal FC,William Saliba,Defence
Arsenal FC,Jurrien Timber,Defence
Arsenal FC,Piero Hincapié,Defence
Arsenal FC,Riccardo Calafiori,Defence
Arsenal FC,Cristhian Mosquera,Defence
Arsenal FC,Myles Lewis-Skelly,Defence
Arsenal FC,Bruno Guimarães,Midfield
Arsenal FC,Eberechi Eze,Midfield
Arsenal FC,Martin Ødegaard,Midfield
Arsenal FC,Mikel Merino,Midfield
Arsenal FC,Declan Rice,Midfield
Arsenal FC,Christian Nørgaard,Midfield
Arsenal FC,Fabio Vieira,Midfield
Arsenal FC,Martín Zubimendi,Midfield
Arsenal FC,Ethan Nwaneri,Midfield
Arsenal FC,Kai Havertz,Offence
Arsenal FC,Gabriel Jesus,Offence
Arsenal FC,Reiss Nelson,Offence
Arsenal FC,Viktor Gyökeres,Offence
Arsenal FC,Martinelli,Offence
Arsenal FC,Bukayo Saka,Offence
Arsenal FC,Christos Tzolis,Offence
Arsenal FC,Noni Madueke,Offence
Arsenal FC,Max Dowman,Offence
Aston Villa FC,Emiliano Martínez,Goalkeeper
Aston Villa FC,Marco Bizot,Goalkeeper
Aston Villa FC,Joe Gauci,Goalkeeper
Aston Villa FC,Zion Suzuki,Goalkeeper
Aston Villa FC,Oliwier Zych,Goalkeeper
Aston Villa FC,Lucas Digne,Defence
Aston Villa FC,Victor Nilsson-Lindelöf,Defence
Aston Villa FC,Ezri Konsa,Defence
Aston Villa FC,Tyrone Mings,Defence
Aston Villa FC,Matty Cash,Defence
Aston Villa FC,Pau Torres,Defence
Aston Villa FC,Ian Maatsen,Defence
Aston Villa FC,Matteo Ruggeri,Defence
Aston Villa FC,Andrés Garcia,Defence
Aston Villa FC,Kosta Nedeljković,Defence
Aston Villa FC,Modou Keba Cisse,Defence
Aston Villa FC,Ross Barkley,Midfield
Aston Villa FC,Boubacar Kamara,Midfield
Aston Villa FC,John McGinn,Midfield
Aston Villa FC,Morgan Rogers,Midfield
Aston Villa FC,Amadou Onana,Midfield
Aston Villa FC,João Gomes,Midfield
Aston Villa FC,Lamare Bogarde,Midfield
Aston Villa FC,Johan Manzambi,Midfield
Aston Villa FC,George Hemmings,Midfield
Aston Villa FC,Leon Bailey,Offence
Aston Villa FC,Ollie Watkins,Offence
Aston Villa FC,Tammy Abraham,Offence
Aston Villa FC,Emiliano Buendía,Offence
Aston Villa FC,Evann Guessand,Offence
Aston Villa FC,Lewis Dobbin,Offence
Aston Villa FC,Alejandro Garnacho,Offence
Aston Villa FC,Alysson,Offence
Aston Villa FC,Brian Madjo,Offence
Chelsea FC,Robert Sánchez,Goalkeeper
Chelsea FC,Gabriel Slonina,Goalkeeper
Chelsea FC,Filip Jörgensen,Goalkeeper
Chelsea FC,Teddy Sharman-Lowe,Goalkeeper
Chelsea FC,Mike Penders,Goalkeeper
Chelsea FC,Axel Disasi,Defence
Chelsea FC,Trevoh Chalobah,Defence
Chelsea FC,Tosin Adarabioyo,Defence
Chelsea FC,Wesley Fofana,Defence
Chelsea FC,Reece James,Defence
Chelsea FC,Maxence Lacroix,Defence
Chelsea FC,Pep Chavarría,Defence
Chelsea FC,Malo Gusto,Defence
Chelsea FC,Benoît Badiashile,Defence
Chelsea FC,Levi Colwill,Defence
Chelsea FC,Caleb Wiley,Defence
Chelsea FC,Jorrel Hato,Defence
Chelsea FC,Mamadou Sarr,Defence
Chelsea FC,Marco Palestra,Defence
Chelsea FC,Aaron Anselmino,Defence
Chelsea FC,Josh Acheampong,Defence
Chelsea FC,Denner,Defence
Chelsea FC,Jordan Henderson,Midfield
Chelsea FC,Morgan Rogers,Midfield
Chelsea FC,Enzo Fernández,Midfield
Chelsea FC,Moisés Caicedo,Midfield
Chelsea FC,Cole Palmer,Midfield
Chelsea FC,Dario Essugo,Midfield
Chelsea FC,Valentin Barco,Midfield
Chelsea FC,Romeo Lavia,Midfield
Chelsea FC,Pedro Neto,Offence
Chelsea FC,Danny Welbeck,Offence
Chelsea FC,Mykhailo Mudryk,Offence
Chelsea FC,João Pedro,Offence
Chelsea FC,Emanuel Emegha,Offence
Chelsea FC,Liam Delap,Offence
Chelsea FC,Nicolas Jackson,Offence
Chelsea FC,Jamie Bynoe-Gittens,Offence
Chelsea FC,Alejandro Garnacho,Offence
Chelsea FC,Marc Guiu,Offence
Chelsea FC,Geovany Quenda,Offence
Chelsea FC,Estevao,Offence
Everton FC,Jordan Pickford,Goalkeeper
Everton FC,Thomas King,Goalkeeper
Everton FC,Mark Travers,Goalkeeper
Everton FC,James Tarkowski,Defence
Everton FC,Michael Keane,Defence
Everton FC,Vitalii Mykolenko,Defence
Everton FC,Jarrad Branthwaite,Defence
Everton FC,Jake O'Brien,Defence
Everton FC,Nathan Patterson,Defence
Everton FC,Adam Aznou,Defence
Everton FC,Christian Nørgaard,Midfield
Everton FC,James Garner,Midfield
Everton FC,Hayden Hackney,Midfield
Everton FC,Kiernan Dewsbury Hall,Midfield
Everton FC,Carlos Alcaraz,Midfield
Everton FC,Merlin Röhl,Midfield
Everton FC,Tim Iroegbunam,Midfield
Everton FC,Harrison Armstrong,Midfield
Everton FC,Dwight McNeil,Offence
Everton FC,Iliman Ndiaye,Offence
Everton FC,Brennan Johnson,Offence
Everton FC,Beto,Offence
Everton FC,Thierno Barry,Offence
Everton FC,Tyler Dibling,Offence
Everton FC,Tyrique George,Offence
Everton FC,Harvey Foster,
Fulham FC,Bernd Leno,Goalkeeper
Fulham FC,Benjamin Lecomte,Goalkeeper
Fulham FC,Timothy Castagne,Defence
Fulham FC,Joachim Andersen,Defence
Fulham FC,Antonee Robinson,Defence
Fulham FC,Ryan Sessegnon,Defence
Fulham FC,Issa Diop,Defence
Fulham FC,Kenny Tete,Defence
Fulham FC,Jorge Cuenca,Defence
Fulham FC,Calvin Bassey,Defence
Fulham FC,Luc De Fougerolles,Defence
Fulham FC,Tom Cairney,Midfield
Fulham FC,Harrison Reed,Midfield
Fulham FC,Sander Berge,Midfield
Fulham FC,Saša Lukić,Midfield
Fulham FC,Emile Smith Rowe,Midfield
Fulham FC,Luke Harris,Midfield
Fulham FC,Shea Charles,Midfield
Fulham FC,Joshua King,Midfield
Fulham FC,César Palacios,Midfield
Fulham FC,Alex Iwobi,Offence
Fulham FC,Rodrigo Muniz,Offence
Fulham FC,Kevin Santos,Offence
Fulham FC,Oscar Bobb,Offence
Fulham FC,Jonah Kusi-Asare,Offence
Fulham FC,Gonzalo García,Offence
Liverpool FC,Alisson Becker,Goalkeeper
Liverpool FC,Freddie Woodman,Goalkeeper
Liverpool FC,Giorgi Mamardashvili,Goalkeeper
Liverpool FC,Vítězslav Jaroš,Goalkeeper
Liverpool FC,Harvey Davies,Goalkeeper
Liverpool FC,Kostas Tsimikas,Defence
Liverpool FC,Joe Gomez,Defence
Liverpool FC,Virgil van Dijk,Defence
Liverpool FC,Ronald Araújo,Defence
Liverpool FC,Calvin Ramsay,Defence
Liverpool FC,Jeremie Frimpong,Defence
Liverpool FC,Milos Kerkez,Defence
Liverpool FC,Conor Bradley,Defence
Liverpool FC,Giovanni Leoni,Defence
Liverpool FC,Jeremy Jacquet,Defence
Liverpool FC,Wataru Endō,Midfield
Liverpool FC,Curtis Jones,Midfield
Liverpool FC,Dominik Szoboszlai,Midfield
Liverpool FC,Florian Wirtz,Midfield
Liverpool FC,Alexis Mac Allister,Midfield
Liverpool FC,Ryan Gravenberch,Midfield
Liverpool FC,Harvey Elliott,Midfield
Liverpool FC,Stefan Bajcetic,Midfield
Liverpool FC,Trey Nyoni,Midfield
Liverpool FC,Federico Chiesa,Offence
Liverpool FC,Alexander Isak,Offence
Liverpool FC,Cody Gakpo,Offence
Liverpool FC,Hugo Ekitike,Offence
Liverpool FC,Víctor Muñoz,Offence
Liverpool FC,Rio Ngumoha,Offence
Manchester City FC,Géronimo Rulli,Goalkeeper
Manchester City FC,Gianluigi Donnarumma,Goalkeeper
Manchester City FC,Marcus Bettinelli,Goalkeeper
Manchester City FC,James Trafford,Goalkeeper
Manchester City FC,Rayan Aït Nouri,Defence
Manchester City FC,Rúben Dias,Defence
Manchester City FC,Matheus Nunes,Defence
Manchester City FC,Marc Guéhi,Defence
Manchester City FC,Joško Gvardiol,Defence
Manchester City FC,Issa Kaboré,Defence
Manchester City FC,Josh Wilson-Esbrand,Defence
